time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-06 12:10,0,0,0,0,0,0,4.16,2.09,0,0,145,177.669
2020-08-06 12:20,0,0,0,0,0,0,4.11,2.07,0,0,145,177.669
2020-08-06 12:30,0,0,0,0,0,0,4.07,2.04,0,0,145,177.669
2020-08-06 12:40,0,0,0,0,0,0,3.99,2.02,0,0,145,177.669
2020-08-06 12:50,0,0,0,0,0,0,3.99,1.99,0,0,145,177.669
2020-08-06 13:00,0,0,0,0,0,0,3.96,1.97,0,0,145,177.669
2020-08-06 13:10,0,0,0,0,0,0,3.93,1.96,0,0,145,177.669
2020-08-06 13:20,0,0,0,0,0,0,3.91,1.94,0,0,145,177.669
2020-08-06 13:30,0,0,0,0,0,0,3.88,1.92,0,0,145,177.669
2020-08-06 13:40,0,0,0,0,0,0,3.84,1.9,0,0,145,177.669
2020-08-06 13:50,0,0,0,0,0,0,3.83,1.89,0,0,145,177.669
2020-08-06 14:00,0,0,0,0,0,0,3.83,1.87,0,0,145,177.669
2020-08-06 14:10,0,0,0,0,0,0,3.81,1.86,0,0,145,177.669
2020-08-06 14:20,0,0,0,0,0,0,3.79,1.85,0,0,145,177.669
2020-08-06 14:30,0,0,0,0,0,0,3.78,1.84,0,0,145,177.669
2020-08-06 14:40,0,0,0,0,0,0,3.77,1.83,0,0,145,177.669
2020-08-06 14:50,0,0,0,0,0,0,3.77,1.82,0,0,145,177.669
2020-08-06 15:00,0,0,0,0,0,0,3.74,1.8,0,0,145,177.669
2020-08-06 15:10,0,0,0,0,0,0,3.73,1.79,0,0,145,177.669
2020-08-06 15:20,0,0,0,0,0,0,3.72,1.78,0,0,145,177.669
2020-08-06 15:30,0,0,0,0,0,0,3.71,1.77,0,0,145,177.669
2020-08-06 15:40,0,0,0,0,0,0,3.69,1.76,0,0,145,177.669
2020-08-06 15:50,0,0,0,0,0,0,3.68,1.75,0,0,145,177.669
2020-08-06 16:00,0,0,0,0,0,0,3.66,1.74,0,0,145,177.669
2020-08-06 16:10,0,0,0,0,0,0,3.65,1.73,0,0,145,177.669
2020-08-06 16:20,0,0,0,0,0,0,3.64,1.72,0,0,145,177.669
2020-08-06 16:30,0,0,0,0,0,0,3.61,1.72,0,0,145,177.669
2020-08-06 16:40,0,0,0,0,0,0,3.57,1.71,0,0,145,177.669
2020-08-06 16:50,0,0,0,0,0,0,3.55,1.7,0,0,145,177.669
2020-08-06 17:00,0,0,0,0,0,0,3.52,1.69,0,0,145,177.669
2020-08-06 17:10,0,0,0,0,0,0,3.49,1.68,0,0,145,177.669
2020-08-06 17:20,0,0,0,0,0,0,3.48,1.68,0,0,145,177.669
2020-08-06 17:30,0,0,0,0,0,0,3.46,1.67,0,0,145,177.669
2020-08-06 17:40,0,0,0,0,0,0,3.44,1.66,0,0,145,177.669
2020-08-06 17:50,0,0,0,0,0,0,3.43,1.65,0,0,145,177.669
2020-08-06 18:00,0,0,0,0,0,0,3.41,1.65,0,0,145,177.669
2020-08-06 18:10,0,0,0,0,0,0,3.39,1.64,0,0,145,177.669
2020-08-06 18:20,0,0,0,0,0,0,3.38,1.63,0,0,145,177.669
2020-08-06 18:30,0,0,0,0,0,0,3.36,1.63,0,0,145,177.669
2020-08-06 18:40,0,0,0,0,0,0,3.35,1.62,0,0,145,177.669
2020-08-06 18:50,0,0,0,0,0,0,3.34,1.61,0,0,145,177.669
